rank,feature,p_donor,q_hat_recipient_center,q_hat_recipient/p_donor
1,sgRNA0209,0.000485202124718,5.960861986537216e-06,0.012285317155199342
2,sgRNA0512,0.0007772706484995,1.560573766496766e-05,0.02007761092625087
3,sgRNA1237,0.0007551681656187,1.560573766496766e-05,0.02066524831880601
4,sgRNA0538,0.0007235931900748,1.560573766496766e-05,0.02156700460842431
5,sgRNA0524,0.0005783483025727,1.560573766496766e-05,0.026983286015620278
6,sgRNA1340,0.0009135692929308,2.858394705125856e-05,0.0312882090854423
7,sgRNA0511,0.0008830468165717,2.8762620229629757e-05,0.032572021879084985
8,sgRNA0450,0.0004325771654782,1.560573766496766e-05,0.036076193822473325
9,sgRNA0396,0.0007893743891247,2.858394705125856e-05,0.036210887311601214
10,sgRNA0824,0.0008635755816529,3.219073967404695e-05,0.03727611150425683
11,sgRNA0501,0.0012361602930714,4.752508552346299e-05,0.0384457305333605
12,sgRNA0780,0.0007599044119503,2.9615228564296623e-05,0.038972307698923514
13,sgRNA0303,0.0007899006387171,3.124498608597564e-05,0.039555590354657146
14,sgRNA0044,0.0007367494298848,2.9397001883529072e-05,0.03990094961882178
15,sgRNA0514,0.0007104369502648,2.9124685230709177e-05,0.04099545388208423
16,sgRNA0431,0.0007099107006724,3.155485176431346e-05,0.04444904370990031
17,sgRNA0565,0.0003410097364007,1.560573766496766e-05,0.04576331992653224
18,sgRNA0461,0.0003304847445528,1.560573766496766e-05,0.04722075049510918
19,sgRNA1342,0.0009293567807028,4.7523017936468966e-05,0.051135386240503906
20,sgRNA1258,0.0005736120562411,2.964586394641824e-05,0.051682776928868315
21,sgRNA0302,0.0008925193092349,4.7523017936468966e-05,0.05324592694493907
22,sgRNA0834,0.0008172656175218,4.723343494820736e-05,0.057794472122091246
23,sgRNA0676,0.0011309103745916,6.610696235176386e-05,0.058454643123807874
24,sgRNA0228,0.0007756918997223,4.7523017936468966e-05,0.06126532706282268
25,sgRNA0765,0.0012845752555721,7.885572966351027e-05,0.06138661734410491
26,sgRNA0460,0.0007130681982268,4.4189683947696696e-05,0.06197118881137037
27,sgRNA0567,0.0007478006713251,4.722622735738578e-05,0.06315349687196868
28,sgRNA1238,0.0004583633955057,2.9124685230709177e-05,0.06354060013578679
29,sgRNA0791,0.0007125419486344,4.53302779959808e-05,0.0636176972918677
30,sgRNA0650,0.0009788242423883,6.277362803790582e-05,0.06413166462320156
31,sgRNA0827,0.0007420119258087,4.791424007610927e-05,0.06457340968460683
32,sgRNA1216,0.0006625482373565,4.4189683947696696e-05,0.06669655348267023
33,sgRNA0649,0.0007051744543408,4.7523017936468966e-05,0.06739185976453682
34,sgRNA0132,0.0004241571719998,2.8762620229629757e-05,0.0678112316102563
35,sgRNA0719,0.0006914919649384,4.704184028412222e-05,0.06802948214779737
36,sgRNA0761,0.0006846507202373,4.7523017936468966e-05,0.06941206155453614
37,sgRNA0522,0.0006709682308349,4.6790636307127774e-05,0.06973599368319598
38,sgRNA0283,0.0008925193092349,6.277362803790582e-05,0.07033307558546567
39,sgRNA0862,0.0006525494951009,4.65069907948067e-05,0.07126967554793003
40,sgRNA0666,0.0006636007365413,4.7523017936468966e-05,0.07161387159417552
41,sgRNA0397,0.0006478132487693,4.6812007302876326e-05,0.07226157753304467
42,sgRNA0111,0.000816213118337,5.944029377348912e-05,0.0728244773798738
43,sgRNA0549,0.0008867305637185,6.610696235176386e-05,0.07455135196259015
44,sgRNA0841,0.0008383156012178,6.277362803790582e-05,0.07488066301845767
45,sgRNA0701,0.0007841118932007,5.944029377348912e-05,0.07580588215650859
46,sgRNA0860,0.0012687877678001,9.65960178946868e-05,0.07613252613726781
47,sgRNA0099,0.0003678484656131,2.858394705125856e-05,0.07770576670373534
48,sgRNA0318,0.0005909782927902,4.605364844057376e-05,0.07792781731988761
49,sgRNA0573,0.0007993731313802,6.277362803790582e-05,0.07852856891689704
50,sgRNA0287,0.0007551681656187,5.944029377348912e-05,0.07871133408383338
51,sgRNA0121,0.000599924535861,4.724593499161508e-05,0.07875313004794617
52,sgRNA0020,0.0005978195374914,4.787762737043152e-05,0.08008709044762571
53,sgRNA0778,0.0008014781297498,6.610696235176386e-05,0.08248130535065341
54,sgRNA0098,0.0005678233107247,4.7243439031325415e-05,0.08320095025868114
55,sgRNA0853,0.0006888607169765,5.944029377348912e-05,0.08628782612888765
56,sgRNA0859,0.000508883356376,4.53302767155928e-05,0.08907793141125939
57,sgRNA0232,0.0006967544608624,6.277362803790582e-05,0.09009433245710186
58,sgRNA0722,0.0005030946108596,4.533027870802514e-05,0.09010289064828719
59,sgRNA0820,0.00050098961249,4.5330277901583854e-05,0.09048147261234617
60,sgRNA0443,0.0006557069926553,5.944029377348912e-05,0.09065069373865349
61,sgRNA0134,0.0005057258588216,4.605364889352562e-05,0.09106445337961552
62,sgRNA0966,0.00031890725352,2.9124685230709177e-05,0.09132650608990506
63,sgRNA0864,0.0008604180840985,7.915290569666048e-05,0.09199354030266886
64,sgRNA0513,0.0010161879634486,9.39793711535761e-05,0.09248227152252594
65,sgRNA0036,0.0005104621051532,4.7523017936468966e-05,0.09309803305028166
66,sgRNA0822,0.0006572857414325,6.277362803790582e-05,0.09550432039054413
67,sgRNA0347,0.0008367368524406,8.005766207721244e-05,0.09567842248575485
68,sgRNA0790,0.0006488657479541,6.277362803790582e-05,0.09674363030539618
69,sgRNA0012,0.0004888858718648,4.7523017936468966e-05,0.09720677293290923
70,sgRNA0527,0.0007693769046135,7.497992371846141e-05,0.09745538664970443
71,sgRNA1257,0.0009793504919807,9.547615915573398e-05,0.09748926450492407
72,sgRNA0167,0.000824106862223,8.037111987872257e-05,0.09752511908701285
73,sgRNA0154,0.0006409720040681,6.277362803790582e-05,0.09793505432295986
74,sgRNA0829,0.0009667205017631,9.495407525623588e-05,0.09822288353568494
75,sgRNA0505,0.0008204231150762,8.07245671029976e-05,0.09839382340598728
76,sgRNA0492,0.0009730354968719,9.611498127666166e-05,0.09877849429507009
77,sgRNA0259,0.0006330782601822,6.277362803790582e-05,0.09915618966261701
78,sgRNA0081,0.0007320131835532,7.387676559929763e-05,0.10092272551800092
79,sgRNA0810,0.000792531886679,8.042503348781219e-05,0.10147860904981709
80,sgRNA0093,0.0006167645228178,6.277362803790582e-05,0.10177892163951516
81,sgRNA0852,0.0004657308897993,4.7523017936468966e-05,0.10203965203370625
82,sgRNA0838,0.0004331034150706,4.533027876774928e-05,0.10466386823655041
83,sgRNA0328,0.0007667456566515,8.059257886019105e-05,0.1051099255157853
84,sgRNA0685,0.000433629664663,4.605364838849637e-05,0.10620502272206737
85,sgRNA1307,0.0007388544282544,7.885572891400983e-05,0.1067270167146626
86,sgRNA0151,0.0002652297950953,2.858394705125856e-05,0.10777049780922249
87,sgRNA0826,0.0007499056696947,8.136361432431485e-05,0.10849846535690205
88,sgRNA0030,0.0006657057349109,7.382379100517183e-05,0.1108955310638155
89,sgRNA0782,0.0004041596874886,4.533027799176676e-05,0.11215932562063202
90,sgRNA0823,0.000725171938852,8.176121281545771e-05,0.112747347815046
91,sgRNA0035,0.0005215133465936,5.921382485234482e-05,0.11354229999886926
92,sgRNA1339,0.0005404583319199,6.277362803790582e-05,0.11614887648213618
93,sgRNA1264,0.000634130759367,7.384632474418612e-05,0.11645283508704225
94,sgRNA0095,0.0006757044771665,7.9016752111257e-05,0.11693980842424775
95,sgRNA0818,0.0006862294690145,8.047708693805663e-05,0.11727430920976108
96,sgRNA0796,0.000535195835996,6.277362803790582e-05,0.11729094999605899
97,sgRNA0144,0.000506252108414,5.944029377348912e-05,0.11741243697671747
98,sgRNA0564,0.0008014781297498,9.684279564274504e-05,0.12083024108590058
99,sgRNA0835,0.0009467230172519,0.0001145576632257,0.12100441326358814
100,sgRNA0080,0.000516777100262,6.277362803790582e-05,0.1214713809998166
101,sgRNA0797,0.0006015032846382,7.440757880890458e-05,0.12370269740698127
102,sgRNA0344,0.0007820068948311,9.757519316771964e-05,0.12477536171697591
103,sgRNA0191,0.0006772832259437,8.603080106356875e-05,0.1270233748129474
104,sgRNA0840,0.0007356969307,9.40050211439392e-05,0.1277768293181479
105,sgRNA0079,0.0009761929944263,0.0001258871315629,0.12895721674061258
106,sgRNA1058,0.0006178170220026,8.01977715602824e-05,0.12980829064943583
