hpi,condition,mouse,label,lung,blood
48,Dox,1,#1+dox,,5.0
48,Dox,2,#2+dox,,48.0
48,Dox,3,#3+dox,,32.0
48,Dox,4,#4+dox,,17.0
48,Dox,5,#5+dox,,58.0
48,Dox,6,#6+dox,,3.0
48,Dox,7,#7+dox,,9.0
48,Dox,8,#8+dox,,14.0
48,Dox,9,#9+dox,,41.0
48,Dox,10,#10+dox,,10.0
48,Dox,11,#11+dox,,6.0
48,Dox,12,#12+dox,,18.0
48,Dox,13,#13+dox,,19.0
48,noDox,1,#1,,41.0
48,noDox,2,#2,2.0,68.0
48,noDox,3,#3,1.0,79.0
48,noDox,4,#4,1.0,47.0
48,noDox,5,#5,3.0,39.0
48,noDox,6,#6,1.0,26.0
48,noDox,7,#7,2.0,37.0
48,noDox,8,#8,,57.0
48,noDox,9,#9,3.0,49.0
48,noDox,10,#10,2.0,20.0
48,noDox,11,#11,4.0,65.0
48,noDox,12,#12,207.0,41.0
